Gene mut_lof mut_silentCFPK mut_damaging dn_lof_SCZ dn_silentCFPK_SCZ dn_damaging_SCZ caseData1_SCZ caseData2_SCZ caseData3_SCZ controlData1_SCZ controlData2_SCZ controlData3_SCZ BF_SCZ PP_SCZ qvalue_SCZ dn_damaging_ASD dn_lof_ASD caseData_ASD controlData_ASD BF_ASD PP_ASD qvalue_ASD dn_damaging_DD dn_lof_DD BF_DD PP_DD qvalue_DD dn_damaging_ID dn_lof_ID BF_ID PP_ID qvalue_ID dn_damaging_EPI dn_lof_EPI BF_EPI PP_EPI qvalue_EPI
CREBBP 6.40586946653035e-06 2.16917e-06 2.19331e-05 0 0 0 0 0 0 2 0 2 0.443457194379475 0.0371782954287699 0.916470867757109 1 0 1 0 1.23629649068093 0.0543671471392825 0.78982161776976 7 3 315192844948.132 0.999999999891405 9.00264154411984e-12 1 0 2.12601545942674 0.0522906970134484 0.516651462867429 0 0 0.222126760565857 0.00256309984631228 0.988367960093912
CSNK2A1 2.09234437483748e-06 5.29755e-07 2.86253e-06 0 0 0 1 1 0 0 0 0 1.85465263293774 0.139039364168929 0.79501053987248 0 0 0 0 0.558354078398258 0.0253086034679244 0.946035322475136 4 0 44221.0084729838 0.99922657005385 7.02944028988043e-05 1 0 16.1272127696488 0.295052337390129 0.408751709746604 0 0 0.758092987800047 0.00869379737165914 0.986689552990864
CTCF 1.69845313967294e-06 1.11606e-10 4.13442e-06 0 0 0 0 0 0 0 0 0 0.928905303734925 0.0748314564143219 0.90065966070715 0 1 0 0 14.240456048833 0.398402070447598 0.416281018318056 5 0 1201650.35058489 0.999971516381241 2.50252450596289e-06 0 0 0.54981960688735 0.014068565129093 0.969791819915441 0 0 0.728777007285524 0.0083604129406958 0.987000062650178
CTNNB1 2.14460372275479e-06 1.11606e-10 5.59104e-06 0 0 0 0 0 0 0 0 0 0.917695411824438 0.0739952232116463 0.901631962173933 0 1 0 0 12.2726523840741 0.363352859368033 0.456489778665297 0 11 2.98213868531413e+20 1 0 0 4 59715369.4607045 0.999999354745968 1.88644966037099e-07 0 0 0.658337756280903 0.00755845289308641 0.987517928443923
CTNND1 2.71763023974444e-06 1.11606e-10 6.93574e-06 0 0 0 1 0 0 1 0 1 0.898074490760381 0.0725279014171168 0.902478541796229 0 0 0 0 0.4334412500167 0.0197585316636752 0.950490355555722 0 2 276.820696485674 0.889958421329122 0.017733374417196 0 0 0.377748171995235 0.00970841491735106 0.972552120825305 0 0 0.593370318554059 0.00681763939948941 0.98783011754404
CUL3 2.08073954314112e-06 4.68242e-07 6.93316e-06 0 0 1 1 0 0 3 1 0 0.495722873965657 0.0413787994063232 0.915116866702429 0 1 0 0 12.0425969553138 0.358986800293958 0.461345312339247 0 2 446.982025364395 0.92887034670285 0.0119217132146435 0 0 0.431903927586103 0.0110848306114236 0.971900542700712 0 0 0.617752499217004 0.00709579518860322 0.987723764053665
CYP27C1 1.00755823592102e-06 1.11606e-10 3.23948e-06 0 0 0 2 0 0 2 1 0 0.637904206769564 0.0526223797844551 0.911384336922234 0 1 0 1 13.677080560396 0.388768182519786 0.427827923332457 2 0 138.010984503601 0.801274602004269 0.0347354626718677 0 0 0.669719247849007 0.0170840963353027 0.965775333758398 0 0 0.79645340717413 0.00912969769674415 0.986187825309103
DHDDS 1.2579045019437e-06 1.11606e-10 4.12138e-06 0 0 0 0 0 0 1 0 2 0.673618450890894 0.0554053078600396 0.909905754798847 0 0 0 0 0.65752855297916 0.029670522721742 0.940206027486778 0 0 0.180337208932602 0.00524104092360629 0.961451457307926 1 0 17.8196246250459 0.316224221840191 0.378704097733018 1 0 53.9376865220063 0.384229336039845 0.482355000832988
DIP2A 3.66928548516544e-06 4.4128e-06 2.3125e-05 0 0 0 7 1 2 6 1 8 1.12753868484179 0.0894025259809573 0.862606403110003 0 2 0 1 108.506509208843 0.83460135812884 0.0542292590672991 0 0 0.00127308884895902 3.71926316593629e-05 0.97099527081014 0 0 0.12463334820196 0.00322414555793983 0.974122667172666 0 0 0.248660126468597 0.00286838766280224 0.988355423935313
DISP1 2.52107981907592e-06 1.11606e-10 6.17647e-06 0 0 0 0 0 1 5 1 5 0.179864536043168 0.0154201424523835 0.919984819984407 0 0 0 1 0.3652956332352 0.0167039859262129 0.952194688983216 0 0 0.0490104600251813 0.00142982115662394 0.968370458534731 0 0 0.41119106205355 0.0105588471813066 0.972152707197939 0 1 55.8700384091716 0.392590485970038 0.4731496300307
DLG4 2.64427824927906e-06 5.85146e-06 1.04146e-10 0 0 0 0 0 0 0 0 1 0.901302433724714 0.0727696178945662 0.902391187539519 0 0 0 0 0.530556821722828 0.0240789716231336 0.947229919021577 0 1 12.1630991100764 0.26218421259734 0.365085474000656 0 2 6359.82861667507 0.993977893326801 0.00117423699271797 0 0 0.846353906590323 0.00969615786767713 0.985141941474727
DNAJC6 2.56177417114716e-06 1.9e-06 5.93633e-06 0 0 0 1 0 0 3 1 4 0.329181582505123 0.0278646855122287 0.918584237968043 0 0 0 0 0.461233269313033 0.0209988345049311 0.949624950624383 0 0 0.0496850550680152 0.00144947312835025 0.968337751801303 0 0 0.413353110485755 0.0106137764877664 0.972128662790244 0 1 56.4037519310596 0.394859958328954 0.468213968127014
DNMT3A 2.63161170663735e-06 7.67303e-06 7.03148e-06 0 0 0 9 7 1 10 2 2 4.05587818368965 0.260991442328707 0.575944417719501 0 1 0 1 8.2796761716712 0.277998663896407 0.517027979846539 4 1 1013711.05620381 0.999966235773486 3.1154990551318e-06 1 0 11.210602195902 0.225374027322347 0.45763896575235 0 0 0.593724503291799 0.00682168111072482 0.987827396755467
DOPEY1 6.2730513360965e-06 1.11606e-10 1.12499e-05 0 0 0 2 1 0 4 0 4 0.644448998918757 0.0531335900748798 0.911027116381029 0 0 1 0 0.520419607807331 0.0236297722193267 0.947558774815242 1 2 199.470025718749 0.853536299045452 0.0252249520221161 0 0 0.140494359705157 0.00363296412244214 0.974080340432331 0 0 0.381927076607871 0.00439890945696049 0.988264744276252
DSCAM 5.11955305540945e-06 8.38496e-08 1.23223e-05 0 0 0 2 3 2 4 1 1 0.925701029814965 0.0745925788466983 0.901027550687658 0 4 1 0 247133.260042121 0.999912995912052 1.86445809845997e-05 0 0 0.00257498431201249 7.52239725528878e-05 0.970886203381966 0 0 0.168147084850492 0.00434491343233175 0.973976620522891 0 0 0.389132236183707 0.00448152418976379 0.988255536890408
